desi,dir,oper,veh,tst,tsi,spd,hdg,lat,long,acc,dl,odo,drst,oday,jrn,line,start,loc,stop,route,occu,timestamp,speed_diff,time_diff,calc_acc,potential_braking
15,1,40,601,2025-03-01T08:03:37.255Z,1740816217,0.02,289.0,60.223619,25.021717,-0.01,-19,3763,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:37.255000+00:00,-0.009999999999999998,1.0,-0.009999999999999998,False
15,1,40,601,2025-03-01T08:03:38.255Z,1740816218,0.04,289.0,60.223619,25.021717,0.02,-19,3763,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:38.255000+00:00,0.02,1.0,0.02,False
15,1,40,601,2025-03-01T08:03:39.255Z,1740816219,0.3,289.0,60.223619,25.021714,0.25,-19,3763,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:39.255000+00:00,0.26,1.0,0.26,False
15,1,40,601,2025-03-01T08:03:40.255Z,1740816220,0.76,291.0,60.223621,25.021705,0.47,-19,3763,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:40.255000+00:00,0.46,1.0,0.46,False
15,1,40,601,2025-03-01T08:03:41.255Z,1740816221,1.32,291.0,60.223625,25.021687,0.56,-19,3763,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:41.255000+00:00,0.56,1.0,0.56,False
15,1,40,601,2025-03-01T08:03:42.255Z,1740816222,2.06,291.0,60.223631,25.021659,0.73,-19,3763,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:42.255000+00:00,0.74,1.0,0.74,False
15,1,40,601,2025-03-01T08:03:43.255Z,1740816223,2.79,290.0,60.223639,25.021618,0.73,-19,3763,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:43.255000+00:00,0.73,1.0,0.73,False
15,1,40,601,2025-03-01T08:03:44.255Z,1740816224,3.56,293.0,60.22365,25.021564,0.77,-19,3763,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:44.255000+00:00,0.77,1.0,0.77,False
15,1,40,601,2025-03-01T08:03:45.255Z,1740816225,4.44,293.0,60.223665,25.021497,0.88,-19,3773,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:45.255000+00:00,0.8800000000000003,1.0,0.8800000000000003,False
15,1,40,601,2025-03-01T08:03:46.255Z,1740816226,5.26,292.0,60.223682,25.021416,0.82,-19,3773,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:46.255000+00:00,0.8199999999999994,1.0,0.8199999999999994,False
15,1,40,601,2025-03-01T08:03:47.255Z,1740816227,6.09,293.0,60.223702,25.021321,0.83,-19,3782,0,2025-03-01,75,1142,09:56,GPS,1363401.0,2015,0,2025-03-01 08:03:47.255000+00:00,0.8300000000000001,1.0,0.8300000000000001,False
